"gene";"DE_log2_FC";"t.value";"p.value";"adj.p.value"
"HSPA7";0.0246380383215683;0.0711012900839178;0.9436684626011;0.959677124020226
"HSPA8";0.388719584279213;3.41544858287267;0.00146433272896717;0.00465681478142225
"HSPA9";0.323438020292573;4.27314748976602;0.000114399781068691;0.000558312649626217
"HSPB1";0.300534890645351;2.53572407041152;0.0151961937642754;0.0332350509603521
"HSPB11";0.20399313545355;1.40931310618352;0.166405045771326;0.241673149153564
"HSPB2";-0.366211681578551;-2.72373079389303;0.00949405334319223;0.022516252975345
"HSPB2-C11orf52";-0.362764440674578;-2.21538535819034;0.0324400833649336;0.0621931116318682
"HSPB3";0.128500527055493;0.487918553512429;0.628248964501609;0.705805733311495
"HSPB6";0.876914199941401;5.23157629647585;5.52718456780917e-06;4.3369761142842e-05
"HSPB7";1.16702833619805;4.50130614295821;5.63250057033578e-05;0.000306830188269803
"HSPB8";-0.315867922261947;-1.65416446412569;0.105855589857016;0.166714272621766
"HSPBAP1";-0.507670063503662;-3.62708016723361;0.00079648139233679;0.00280727260774601
"HSPBP1";0.55474717915766;3.56518095476923;0.00095324212398069;0.00326927302774423
"HSPC324";-2.12921598118963;-6.15764944570611;2.74604712243772e-07;3.57134650100209e-06
"HSPD1";0.567469139783083;6.73780710784094;4.1807629880911e-08;7.91565107832716e-07
"HSPE1";0.346845820112371;3.55906872877624;0.00097023854918446;0.0033170509388469
"HSPE1-MOB4";0.205568638475699;3.08575961647309;0.00366004574480996;0.01005165608673
"HSPG2";0.926281770805675;6.03266543163028;4.1225401775068e-07;4.97461590091389e-06
"HSPH1";0.53771781647088;3.63669934365868;0.000774465257921959;0.00274128273580129
"HTATIP2";-0.151388520033695;-1.67402590092323;0.101862870484819;0.161542897564266
"HTATSF1";0.0477711027383539;0.903129214340433;0.371818668598006;0.466822203687348
"HTATSF1P2";-0.205817894120213;-1.08285064011647;0.28530478046688;0.37730035871115
"HTD2";0.0932999561101527;1.5718890913656;0.123787437036835;0.189897492373584
"HTR1B";0.373634565254502;1.03601509805739;0.306365616863959;0.399557422188633
"HTR1D";-1.59520216237457;-4.42897606865479;7.05865908384844e-05;0.000372122877548268
"HTR1F";-0.00981326513077817;-0.0418038185604023;0.966861311620684;0.976198826387199
"HTR2A";2.4803770338107;7.61760341933419;2.48804112614722e-09;8.32205533399567e-08
"HTR2B";1.44885584584076;4.9046620538339;1.57541660981217e-05;0.000104645766890562
"HTR3C";-2.93878083597144;-4.51241431707135;5.44015820500635e-05;0.000297863408282607
"HTR7";0.191801827134716;0.830404535660968;0.411197704132052;0.506205914956296
"HTR7P1";-0.0029629990825685;-0.026468296618791;0.979014322152342;0.985103573226542
"HTRA1";0.83074263707992;6.4759987544015;9.76395416687793e-08;1.54234840967449e-06
"HTRA2";0.0274451954166895;0.497457181193717;0.621567398370414;0.700055630283792
"HTRA3";0.945260172423065;4.17318147442787;0.00015552457598222;0.000725367963110176
"HTRA4";0.473327693809772;1.45290493026629;0.153984951712838;0.227017394919104
"HTT";-0.0648371094911755;-0.772719227204754;0.444192504240327;0.537626956614368
"HUNK";-0.143012243484965;-0.759129869915564;0.452187930430106;0.54507876134562
"HUS1";0.107536091318006;1.562379163129;0.126010259104075;0.192625975305776
"HUWE1";0.41941763274346;3.93267784366002;0.000322490090408851;0.00132984147228238
"HVCN1";-0.322486028934654;-2.57347466084043;0.0138465550312238;0.0308095103260038
"HYAL1";-1.48310376216864;-9.81914694943162;2.97571225831706e-12;4.4720409015444e-10
"HYAL2";-0.538220003726259;-2.84578728295575;0.00693092895031681;0.0172782206443735
"HYAL3";0.430267400816421;3.6329917322879;0.000782880865954654;0.0027651909286967
"HYCC1";0.270207315897873;2.22392161547485;0.0318147665260228;0.0612220667250275
"HYCC2";-0.562785264923361;-5.96931069895072;5.06534664780131e-07;5.89033674395853e-06
"HYDIN";1.43574163167408;2.88665362434623;0.00622811848609275;0.0157806711342387
"HYDIN2";0.98209532345519;3.26812447023327;0.0022165608829828;0.00658457022218678
"HYI";-0.608775929529949;-4.91795550441112;1.51006019364225e-05;0.000100768463307468
"HYKK";-0.234817873324124;-1.80214777055422;0.0789977748411394;0.130953442061786
"HYLS1";0.486477601921772;4.20915828915547;0.000139286365703842;0.000661319929836955
"HYMAI";-0.697652561645446;-3.79315169374673;0.000488943751719802;0.00187943725239222
"HYOU1";1.07233539092678;7.88962961130017;1.05283961839494e-09;4.13511836328218e-08
"HYPK";-0.0220214119280457;-0.210670282932504;0.834205091738162;0.876652194137373
"IAH1";-0.285544041833634;-3.96316452284972;0.000294250712836222;0.00123672163070279
"IARS1";0.527701895641851;7.11394338550773;1.24324984985824e-08;2.95120705798884e-07
"IARS2";0.197889795591781;2.87068928484855;0.00649435696282037;0.0163537792683728
"IBA57";-0.689539340645534;-5.91595300300523;6.02461749428563e-07;6.84228635622616e-06
